stamp;cout;dig
.NN;3;dig5
.NN;3;dig11
+IM+;1;dig11
AVGGGNNNFIG+LC+;1;dig11
ARN.;1;dig10
FP.;1;dig8
LFC+V+;1;dig11
CAFFM;1;dig1
QC.;4;dig8
IIIVNIMELISSI+LISSE;1;dig5
PMOCVFIGEDO;1;dig4
QMS;2;dig7
QMS;1;dig12
QMS;2;dig3
QMR;3;dig12
QMR;1;dig2
.IGED+;1;dig5
QMC;1;dig5
SAXOF+;1;dig10
M+;1;dig8
IIIVNIMELISSI+M+;1;dig5
.FCCVF+;1;dig11
+MFA+;1;dig4
ALFO.;1;dig10
.VGGGNNN+GVLBARB.;1;dig11
CMTC.;1;dig1
P.NA;1;dig6
CFSA.;1;dig12
QNDP+;1;dig12
+RODV;1;dig11
.MN;1;dig6
VIAI;1;dig10
L+;1;dig11
AMICI;1;dig7
CN.;1;dig11
QCV;1;dig11
LFCCO;1;dig11
ASVLFVSC;1;dig8
LFCCV;1;dig11
QCI;1;dig6
QCI;3;dig8
.ENTI.;1;dig11
QCM;1;dig8
.ORTO;2;dig4
KVF+COLLEOPA.;1;dig11
SCL;1;dig8
+FT;2;dig4
FINETOY;1;dig12
CR+;1;dig9
+M+;1;dig5
+M+;1;dig6
+M+;1;dig11
+COL+;1;dig11
LMRLMP;1;dig1
LIVNIMELISSIP;1;dig5
LFCCV+;2;dig11
FVNBELRPI;1;dig1
FIRMI;1;dig4
FIRMI;1;dig3
SCA;1;dig1
CI.LB;1;dig6
+CRDEP;1;dig11
IIMINACRETCAL;3;dig4
IIMINACRETCAL;1;dig5
ISVIRG;1;dig5
ISVIRG;3;dig7
ISVIRG;3;dig3
CALLISTVSF;5;dig7
+LV+;1;dig4
.AXOFER;1;dig10
+F+;1;dig11
LIDIFITAL;1;dig10
MATDEFICNASMARSI;8;dig4
M+M;1;dig1
B+;1;dig11
MQF.;1;dig8
LFCCVFCAT;1;dig4
+API;1;dig11
CMA;5;dig6
.OPVLI;1;dig4
.MFP;1;dig5
FIGVLGEME+VINIL;1;dig4
+C+;1;dig2
.CICELI;1;dig6
LIT.;1;dig11
+T;2;dig4
IIIENNIIVL;2;dig2
II.AVRHERACLA.PATETFILFCEPA+;1;dig11
CA+;1;dig4
LC+M.;1;dig11
TFAM.;1;dig4
AVG+;1;dig11
SIIP;1;dig11
CANRVF;1;dig2
LFCCV+;1;dig10
MS;5;dig11
+CVFC+;1;dig4
DOM;1;dig12
DOM;1;dig1
DOM;1;dig11
+CERAR+;1;dig11
+V;1;dig9
LACV+;1;dig11
MCFRIGD;1;dig8
MCFRIGD;2;dig9
LIS;1;dig11
PSAI.;1;dig2
+COR;1;dig9
IISE.;1;dig8
MCFRIGI;1;dig9
+IS;1;dig11
+BELI;1;dig12
F;1;dig11
+FIP;1;dig10
+NI+;1;dig4
SALS;1;dig5
+CV+;1;dig5
.CM.;1;dig5
QIMF;2;dig6
QIMF;1;dig12
QIMF;2;dig2
VITALIS;1;dig4
FPATERNI;1;dig7
FPATERNI;1;dig3
QIMS;2;dig12
.FRIG.;1;dig9
LASFIC;2;dig2
LF+;1;dig5
+D;1;dig11
ALBM+ARCIAN;1;dig11
DIONI;5;dig4
.FCCV;1;dig11
QQFM.;1;dig8
FIBAR;1;dig4
+HP;1;dig5
+DO;1;dig4
QN+L;1;dig5
CA.;2;dig4
AR+;1;dig11
CIMASECA;1;dig10
FLFBARI;1;dig7
AVG;1;dig4
AVG;1;dig5
CERC;1;dig4
CERC;1;dig5
RIVESQIAFS;1;dig6
VICTORICI;1;dig5
CERARIA;1;dig7
+GG+VL+;1;dig11
+MINACRETCA.;1;dig4
+FLAI+CANO+;1;dig10
LIT;2;dig4
LIT;1;dig5
LIT;5;dig7
LIT;2;dig3
LIT;16;dig11
QI+;1;dig2
+ACHR;1;dig1
LIS;2;dig11
LIS;6;dig11
+RVFIP;1;dig9
NICXIII;1;dig11
HERACLETFILFMAR;1;dig11
LFFCXI.;1;dig5
FIGVLGEMESILVINIL;1;dig4
TAN;1;dig10
+CAVF+;1;dig5
MOXM.;1;dig11
LFCCV+;1;dig11
+MELISSI+MELISSE;1;dig5
PMO+FIGE+;1;dig4
IIIENNIIVL;1;dig2
LALRD.;1;dig12
FCV+;1;dig4
III;1;dig10
Q+;1;dig2
IVL.I;1;dig4
.TR;1;dig5
QI+;1;dig12
A+;1;dig3
PNNF;7;dig4
PNNF;4;dig5
PNNF;2;dig11
VIRG.;1;dig11
PNNS+;1;dig11
