stamp;dig
LFCCV+;dig11
EQF.;dig8
PNN+;dig11
+FC+;dig5
+FC+;dig11
I+;dig4
GAV+;dig5
GAV+;dig5
GAV+;dig5
+M+ISSI;dig11
+BA+;dig5
CELERI+;dig5
.VHEL.;dig4
FX+;dig5
FX+;dig3
LFCCVFS+;dig5
L+;dig5
AEVPHE+;old
QAGS.BV;old
CAIVAL.;old
Q.I;old
LA.;old
FIGLINACIR.MSMAVRIANI;old
FIGLINACIR.MSMAVRIANI;old
.FSAR;old
.FCARES;old
T.T;old
ACH.;old
.AEFM;old
CAE.;old
.AEL;old
.AEL;old
MAEARIFI.CIANI;old
AEME+;old
.EMEN;old
.EMEN;old
.EMEN;old
.EMEN;old
.ALPVRNIC;old
.ANRVFIR;old
.NTVLLAE;old
CAPS+;old
GA.;old
CA.;old
CA.;old
CA.;old
CA.;old
.A.;old
.A.;old
.ATDEFIGINASMARSI;old
MATDEFIGNASMARS.;old
MATDEFIGN.SMARSI;old
AVG.GNN.;old
AVG.GNN.;old
.ACIR;old
BA.P;old
.LODICIIL.;old
CALLI`.;old
CALLI.;old
F.VCVM;old
.CVCV.;old
.ION.;old
EVHELPIST.;old
.VHE.ISTI;old
.VTYCESF;old
EVTY+;old
.FCCVCAT;old
.FCCVCAT;old
LFCCVFCA.;old
LF+;old
ECCE+;old
ECCE+;old
.FLOG;old
.IIFFLV.;old
.FAM+;old
F.ORI;old
.IVLGEM.SILVINILI;old
FI.GR+;old
.IVNIMELISSI;old
.LFT;old
.LFT;old
LEONIN.;old
CM.SC;old
PMOCV.IGEDO;old
.MOCVFIGEDO;old
PMOC.FIGEDO;old
.IMINIACRETCAN;old
.IMNACRETCAL;old
FIGM.D;old
PN.;old
PN.;old
.NN;old
.NNF;old
.NNF;old
.NNF;old
PNN.;old
N.XIIII;old
APF.;old
SP.N.;old
FPA.;old
FPA.;old
POPVL.;old
.OPVLI;old
.OPVLI;old
.ORTO;old
POPVL.;old
PORTO.;old
LQ+;old
+VINT;old
VIBIO.;old
+CA+;old
+CLOD.S;old
.RROP;old
CA.P;old
+MSEL;old
+NI;old
+FFREC+;old
NCVC+;old
NN+;old
PM+;old
+F;old
+I;old
+LF+;old
+LV+FCFI+;old
+M+;old
+M;old
+M;old
+NN;old
+OIV+;old
+O;old
LIL+;old
+BF;old
+F+;old
+BLBO+;old
+BI.;old
ATIT+;old
BA+;old
BA+;old
.ALB;old
.CC;old
.CCHREST.;old
.CHO;old
.VALFAVS;old
LV.LEVI.;old
CAFF+;old
CAEFF.;old
.AEFFM;old
LAGE.;old
.AE.IFB;old
SCL.;old
M+CSV;old
M+CSV;old
COR+;old
